m84045_240518_224402_s3/100600609/ccs;size=1	k:Fungi(1.00),p:Basidiomycota(0.30),c:Agaricomycetes(0.29),o:Agaricales(0.15),f:Mycenaceae(0.03),g:Mycena(0.03),s:Mycena_laevigata(0.01)	+	k:Fungi
m84045_240518_224402_s3/122684212/ccs;size=1	k:Fungi(1.00),p:Basidiomycota(0.36),c:Agaricomycetes(0.31),o:Agaricales(0.15),f:Agaricaceae(0.05),g:Leucoagaricus(0.04),s:Leucoagaricus_sp(0.03)	+	k:Fungi
m84045_240518_224402_s3/54265888/ccs;size=1	k:Fungi(1.00),p:Fungi_phy_Incertae_sedis(0.48),c:Fungi_cls_Incertae_sedis(0.48),o:Fungi_ord_Incertae_sedis(0.48),f:Fungi_fam_Incertae_sedis(0.48),g:Fungi_gen_Incertae_sedis(0.48),s:Fungi_sp(0.48)	+	k:Fungi
m84045_240518_224402_s3/95813931/ccs;size=8	k:Fungi(1.00),p:Basidiomycota(0.61),c:Agaricomycetes(0.53),o:Agaricales(0.25),f:Inocybaceae(0.08),g:Inocybe(0.08),s:Inocybe_sp(0.04)	+	k:Fungi
m84045_240518_224402_s3/211879264/ccs;size=2	k:Fungi(1.00),p:Ascomycota(0.40),c:Pezizomycetes(0.12),o:Pezizales(0.12),f:Pezizaceae(0.04),g:Peziza(0.02),s:Peziza_sp(0.02)	+	k:Fungi
m84045_240518_224402_s3/185994509/ccs;size=2	k:Fungi(1.00),p:Basidiomycota(0.39),c:Agaricomycetes(0.32),o:Agaricales(0.17),f:Inocybaceae(0.04),g:Inocybe(0.03),s:Inocybe_sp(0.02)	+	k:Fungi
m84045_240518_224402_s3/147392044/ccs;size=1	k:Fungi(1.00),p:Basidiomycota(0.58),c:Agaricomycetes(0.42),o:Agaricales(0.19),f:Agaricales_fam_Incertae_sedis(0.07),g:Agaricales_gen_Incertae_sedis(0.05),s:Agaricales_sp(0.05)	+	k:Fungi
m84045_240518_224402_s3/210175546/ccs;size=4	k:Fungi(1.00),p:Basidiomycota(0.43),c:Agaricomycetes(0.35),o:Agaricales(0.21),f:Agaricaceae(0.03),g:Leucoagaricus(0.01),s:Leucoagaricus_sp(0.01)	+	k:Fungi
m84045_240518_224402_s3/194381129/ccs;size=6	k:Fungi(1.00),p:Basidiomycota(0.28),c:Agaricomycetes(0.19),o:Agaricales(0.08),f:Entolomataceae(0.04),g:Entoloma(0.02),s:Entoloma_dysthales(0.02)	+	k:Fungi
m84045_240518_224402_s3/211160336/ccs;size=1	k:Fungi(1.00),p:Basidiomycota(0.39),c:Agaricomycetes(0.35),o:Agaricales(0.16),f:Omphalotaceae(0.03),g:Omphalotaceae_gen_Incertae_sedis(0.02),s:Omphalotaceae_sp(0.02)	+	k:Fungi
m84045_240518_224402_s3/34605002/ccs;size=1	k:Fungi(1.00),p:Basidiomycota(0.43),c:Agaricomycetes(0.32),o:Agaricales(0.16),f:Inocybaceae(0.05),g:Inocybe(0.05),s:Inocybe_sp(0.04)	+	k:Fungi
m84045_240518_224402_s3/42863817/ccs;size=1	k:Fungi(1.00),p:Basidiomycota(0.47),c:Agaricomycetes(0.35),o:Agaricales(0.15),f:Cortinariaceae(0.02),g:Cortinarius(0.02),s:Cortinarius_saginus(0.01)	+	k:Fungi
m84045_240518_224402_s3/74711454/ccs;size=1	k:Fungi(1.00),p:Fungi_phy_Incertae_sedis(0.99),c:Fungi_cls_Incertae_sedis(0.99),o:Fungi_ord_Incertae_sedis(0.99),f:Fungi_fam_Incertae_sedis(0.99),g:Fungi_gen_Incertae_sedis(0.99),s:Fungi_sp(0.99)	+	k:Fungi,p:Fungi_phy_Incertae_sedis,c:Fungi_cls_Incertae_sedis,o:Fungi_ord_Incertae_sedis,f:Fungi_fam_Incertae_sedis,g:Fungi_gen_Incertae_sedis,s:Fungi_sp
m84045_240518_224402_s3/242353144/ccs;size=1	k:Fungi(1.00),p:Basidiomycota(0.34),c:Agaricomycetes(0.22),o:Agaricales(0.16),f:Entolomataceae(0.08),g:Entoloma(0.07),s:Entoloma_sp(0.04)	+	k:Fungi
m84045_240518_224402_s3/178653477/ccs;size=1	k:Fungi(1.00),p:Basidiomycota(0.37),c:Agaricomycetes(0.27),o:Agaricales(0.19),f:Inocybaceae(0.05),g:Inocybe(0.04),s:Inocybe_sp(0.04)	+	k:Fungi
m84045_240518_224402_s3/213846927/ccs;size=2	k:Fungi(1.00),p:Basidiomycota(0.33),c:Agaricomycetes(0.23),o:Agaricales(0.13),f:Inocybaceae(0.03),g:Inocybe(0.03),s:Inocybe_sp(0.02)	+	k:Fungi
m84045_240518_224402_s3/173871219/ccs;size=1	k:Fungi(1.00),p:Basidiomycota(0.33),c:Agaricomycetes(0.25),o:Agaricales(0.18),f:Amanitaceae(0.06),g:Amanita(0.04),s:Amanita_quenda(0.02)	+	k:Fungi
m84045_240518_224402_s3/257955258/ccs;size=3	k:Fungi(1.00),p:Basidiomycota(0.39),c:Agaricomycetes(0.38),o:Agaricales(0.15),f:Inocybaceae(0.04),g:Inocybe(0.04),s:Inocybe_sp(0.02)	+	k:Fungi
m84045_240518_224402_s3/119804063/ccs;size=57	k:Fungi(1.00),p:Fungi_phy_Incertae_sedis(0.81),c:Fungi_cls_Incertae_sedis(0.81),o:Fungi_ord_Incertae_sedis(0.81),f:Fungi_fam_Incertae_sedis(0.81),g:Fungi_gen_Incertae_sedis(0.81),s:Fungi_sp(0.81)	+	k:Fungi,p:Fungi_phy_Incertae_sedis,c:Fungi_cls_Incertae_sedis,o:Fungi_ord_Incertae_sedis,f:Fungi_fam_Incertae_sedis,g:Fungi_gen_Incertae_sedis,s:Fungi_sp
m84045_240518_224402_s3/152046122/ccs;size=3	k:Fungi(1.00),p:Chytridiomycota(1.00),c:Chytridiomycetes(1.00),o:Chytridiales(1.00),f:Chytriomycetaceae(1.00),g:Rhizidium(1.00),s:Rhizidium_sp(1.00)	+	k:Fungi,p:Chytridiomycota,c:Chytridiomycetes,o:Chytridiales,f:Chytriomycetaceae,g:Rhizidium,s:Rhizidium_sp
m84045_240518_224402_s3/197134728/ccs;size=2	k:Fungi(1.00),p:Basidiomycota(0.31),c:Agaricomycetes(0.24),o:Agaricales(0.15),f:Strophariaceae(0.04),g:Pholiota(0.02),s:Pholiota_sp(0.02)	+	k:Fungi
m84045_240518_224402_s3/10948476/ccs;size=2	k:Fungi(1.00),p:Fungi_phy_Incertae_sedis(0.84),c:Fungi_cls_Incertae_sedis(0.84),o:Fungi_ord_Incertae_sedis(0.84),f:Fungi_fam_Incertae_sedis(0.84),g:Fungi_gen_Incertae_sedis(0.84),s:Fungi_sp(0.84)	+	k:Fungi,p:Fungi_phy_Incertae_sedis,c:Fungi_cls_Incertae_sedis,o:Fungi_ord_Incertae_sedis,f:Fungi_fam_Incertae_sedis,g:Fungi_gen_Incertae_sedis,s:Fungi_sp
m84045_240518_224402_s3/161747155/ccs;size=1	k:Fungi(1.00),p:Basidiomycota(0.35),c:Agaricomycetes(0.30),o:Agaricales(0.16),f:Inocybaceae(0.06),g:Inocybe(0.04),s:Inocybe_sp(0.04)	+	k:Fungi
m84045_240518_224402_s3/214436729/ccs;size=1	k:Fungi(1.00),p:Fungi_phy_Incertae_sedis(1.00),c:Fungi_cls_Incertae_sedis(1.00),o:Fungi_ord_Incertae_sedis(1.00),f:Fungi_fam_Incertae_sedis(1.00),g:Fungi_gen_Incertae_sedis(1.00),s:Fungi_sp(1.00)	+	k:Fungi,p:Fungi_phy_Incertae_sedis,c:Fungi_cls_Incertae_sedis,o:Fungi_ord_Incertae_sedis,f:Fungi_fam_Incertae_sedis,g:Fungi_gen_Incertae_sedis,s:Fungi_sp
m84045_240518_224402_s3/222959356/ccs;size=1	k:Fungi(1.00),p:Fungi_phy_Incertae_sedis(0.21),c:Fungi_cls_Incertae_sedis(0.21),o:Fungi_ord_Incertae_sedis(0.21),f:Fungi_fam_Incertae_sedis(0.21),g:Fungi_gen_Incertae_sedis(0.21),s:Fungi_sp(0.21)	+	k:Fungi
m84045_240518_224402_s3/53218671/ccs;size=1	k:Fungi(1.00),p:Ascomycota(0.40),c:Ascomycota_cls_Incertae_sedis(0.30),o:Ascomycota_ord_Incertae_sedis(0.30),f:Ascomycota_fam_Incertae_sedis(0.30),g:Ascomycota_gen_Incertae_sedis(0.30),s:Ascomycota_sp(0.30)	+	k:Fungi
m84045_240518_224402_s3/241436328/ccs;size=1	k:Fungi(1.00),p:Basidiomycota(0.36),c:Agaricomycetes(0.30),o:Agaricales(0.15),f:Agaricales_fam_Incertae_sedis(0.03),g:Agaricales_gen_Incertae_sedis(0.03),s:Agaricales_sp(0.03)	+	k:Fungi
m84045_240518_224402_s3/107544673/ccs;size=1	k:Fungi(1.00),p:Zoopagomycota(1.00),c:Zoopagomycetes(1.00),o:Zoopagales(1.00),f:Piptocephalidaceae(1.00),g:Syncephalis(0.99),s:Syncephalis_sp(0.99)	+	k:Fungi,p:Zoopagomycota,c:Zoopagomycetes,o:Zoopagales,f:Piptocephalidaceae,g:Syncephalis,s:Syncephalis_sp
m84045_240518_224402_s3/179442532/ccs;size=1	k:Fungi(1.00),p:Fungi_phy_Incertae_sedis(1.00),c:Fungi_cls_Incertae_sedis(1.00),o:Fungi_ord_Incertae_sedis(1.00),f:Fungi_fam_Incertae_sedis(1.00),g:Fungi_gen_Incertae_sedis(1.00),s:Fungi_sp(1.00)	+	k:Fungi,p:Fungi_phy_Incertae_sedis,c:Fungi_cls_Incertae_sedis,o:Fungi_ord_Incertae_sedis,f:Fungi_fam_Incertae_sedis,g:Fungi_gen_Incertae_sedis,s:Fungi_sp
m84045_240518_224402_s3/237831112/ccs;size=1	k:Fungi(1.00),p:Fungi_phy_Incertae_sedis(0.26),c:Fungi_cls_Incertae_sedis(0.26),o:Fungi_ord_Incertae_sedis(0.26),f:Fungi_fam_Incertae_sedis(0.26),g:Fungi_gen_Incertae_sedis(0.26),s:Fungi_sp(0.26)	+	k:Fungi
m84045_240518_224402_s3/152503415/ccs;size=1	k:Fungi(1.00),p:Basidiomycota(0.47),c:Agaricomycetes(0.41),o:Agaricales(0.30),f:Entolomataceae(0.07),g:Entoloma(0.05),s:Entoloma_hochstetteri(0.04)	+	k:Fungi
m84045_240518_224402_s3/81398472/ccs;size=1	k:Fungi(1.00),p:Fungi_phy_Incertae_sedis(0.84),c:Fungi_cls_Incertae_sedis(0.84),o:Fungi_ord_Incertae_sedis(0.84),f:Fungi_fam_Incertae_sedis(0.84),g:Fungi_gen_Incertae_sedis(0.84),s:Fungi_sp(0.84)	+	k:Fungi,p:Fungi_phy_Incertae_sedis,c:Fungi_cls_Incertae_sedis,o:Fungi_ord_Incertae_sedis,f:Fungi_fam_Incertae_sedis,g:Fungi_gen_Incertae_sedis,s:Fungi_sp
m84045_240518_224402_s3/163121813/ccs;size=2	k:Fungi(1.00),p:Ascomycota(0.45),c:Sordariomycetes(0.11),o:Hypocreales(0.03),f:Hypocreaceae(0.02),g:Trichoderma(0.02),s:Trichoderma_sp(0.01)	+	k:Fungi
m84045_240518_224402_s3/195890826/ccs;size=1	k:Fungi(1.00),p:Ascomycota(0.56),c:Pezizomycetes(0.12),o:Pezizales(0.12),f:Helvellaceae(0.05),g:Helvella(0.05),s:Helvella_sp(0.03)	+	k:Fungi
m84045_240518_224402_s3/235471896/ccs;size=1	k:Fungi(1.00),p:Ascomycota(0.26),c:Eurotiomycetes(0.05),o:Onygenales(0.03),f:Onygenaceae(0.01),g:Byssoonygena(0.01),s:Byssoonygena_ceratinophila(0.01)	+	k:Fungi
m84045_240518_224402_s3/243666050/ccs;size=1	k:Fungi(1.00),p:Fungi_phy_Incertae_sedis(0.45),c:Fungi_cls_Incertae_sedis(0.45),o:Fungi_ord_Incertae_sedis(0.45),f:Fungi_fam_Incertae_sedis(0.45),g:Fungi_gen_Incertae_sedis(0.45),s:Fungi_sp(0.45)	+	k:Fungi
m84045_240518_224402_s3/60099251/ccs;size=1	k:Fungi(1.00),p:Fungi_phy_Incertae_sedis(0.42),c:Fungi_cls_Incertae_sedis(0.42),o:Fungi_ord_Incertae_sedis(0.42),f:Fungi_fam_Incertae_sedis(0.42),g:Fungi_gen_Incertae_sedis(0.42),s:Fungi_sp(0.42)	+	k:Fungi
m84045_240518_224402_s3/177341353/ccs;size=2	k:Fungi(1.00),p:Basidiomycota(0.45),c:Agaricomycetes(0.39),o:Agaricales(0.24),f:Inocybaceae(0.06),g:Inocybe(0.06),s:Inocybe_sp(0.03)	+	k:Fungi
m84045_240518_224402_s3/142935067/ccs;size=1	k:Fungi(1.00),p:Basidiomycota(0.33),c:Agaricomycetes(0.26),o:Agaricales(0.17),f:Inocybaceae(0.06),g:Inocybe(0.05),s:Inocybe_sp(0.03)	+	k:Fungi
m84045_240518_224402_s3/96275120/ccs;size=1	k:Fungi(1.00),p:Fungi_phy_Incertae_sedis(0.73),c:Fungi_cls_Incertae_sedis(0.73),o:Fungi_ord_Incertae_sedis(0.73),f:Fungi_fam_Incertae_sedis(0.73),g:Fungi_gen_Incertae_sedis(0.73),s:Fungi_sp(0.73)	+	k:Fungi
m84045_240518_224402_s3/65408460/ccs;size=1	k:Fungi(1.00),p:Basidiomycota(0.42),c:Agaricomycetes(0.35),o:Agaricales(0.19),f:Agaricales_fam_Incertae_sedis(0.03),g:Agaricales_gen_Incertae_sedis(0.02),s:Agaricales_sp(0.02)	+	k:Fungi
m84045_240518_224402_s3/251594880/ccs;size=1	k:Fungi(1.00),p:Basidiomycota(1.00),c:Agaricomycetes(1.00),o:Agaricales(1.00),f:Physalacriaceae(1.00),g:Armillaria(1.00),s:Armillaria_borealis(0.96)	+	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Physalacriaceae,g:Armillaria,s:Armillaria_borealis
m84045_240518_224402_s3/123735223/ccs;size=1	k:Fungi(1.00),p:Basidiomycota(0.44),c:Agaricomycetes(0.33),o:Agaricales(0.20),f:Agaricales_fam_Incertae_sedis(0.04),g:Agaricales_gen_Incertae_sedis(0.04),s:Agaricales_sp(0.04)	+	k:Fungi
m84045_240518_224402_s3/243599593/ccs;size=1	k:Fungi(1.00),p:Ascomycota(0.39),c:Pezizomycetes(0.09),o:Pezizales(0.09),f:Helvellaceae(0.02),g:Helvella(0.02),s:Helvella_sp(0.02)	+	k:Fungi
m84045_240518_224402_s3/135399983/ccs;size=2	k:Fungi(1.00),p:Ascomycota(0.50),c:Eurotiomycetes(0.10),o:Eurotiales(0.09),f:Aspergillaceae(0.06),g:Penicillium(0.04),s:Penicillium_sp(0.02)	+	k:Fungi
m84045_240518_224402_s3/118096421/ccs;size=3	k:Fungi(1.00),p:Ascomycota(0.41),c:Sordariomycetes(0.13),o:Hypocreales(0.07),f:Hypocreaceae(0.06),g:Trichoderma(0.04),s:Trichoderma_sp(0.02)	+	k:Fungi
m84045_240518_224402_s3/241699111/ccs;size=1	k:Fungi(1.00),p:Basidiomycota(0.41),c:Agaricomycetes(0.31),o:Agaricales(0.13),f:Amanitaceae(0.03),g:Amanita(0.03),s:Amanita_sp(0.02)	+	k:Fungi
m84045_240518_224402_s3/135269050/ccs;size=2	k:Fungi(1.00),p:Basidiomycota(0.36),c:Agaricomycetes(0.30),o:Agaricales(0.12),f:Agaricaceae(0.03),g:Tulostoma(0.02),s:Tulostoma_sp(0.01)	+	k:Fungi
m84045_240518_224402_s3/136580517/ccs;size=1	k:Fungi(1.00),p:Basidiomycota(0.52),c:Agaricomycetes(0.49),o:Agaricales(0.16),f:Agaricaceae(0.05),g:Disciseda(0.02),s:Disciseda_cervina(0.02)	+	k:Fungi
m84045_240518_224402_s3/19338713/ccs;size=1	k:Fungi(1.00),p:Ascomycota(0.42),c:Dothideomycetes(0.14),o:Pleosporales(0.11),f:Trematosphaeriaceae(0.02),g:Trematosphaeriaceae_gen_Incertae_sedis(0.01),s:Trematosphaeriaceae_sp(0.01)	+	k:Fungi
m84045_240518_224402_s3/168365174/ccs;size=1	k:Fungi(1.00),p:Basidiomycota(0.47),c:Agaricomycetes(0.39),o:Russulales(0.15),f:Russulaceae(0.15),g:Russula(0.10),s:Russula_sp(0.10)	+	k:Fungi
m84045_240518_224402_s3/213718687/ccs;size=1	k:Fungi(1.00),p:Fungi_phy_Incertae_sedis(0.61),c:Fungi_cls_Incertae_sedis(0.61),o:Fungi_ord_Incertae_sedis(0.61),f:Fungi_fam_Incertae_sedis(0.61),g:Fungi_gen_Incertae_sedis(0.61),s:Fungi_sp(0.61)	+	k:Fungi
m84045_240518_224402_s3/36242356/ccs;size=1	k:Fungi(1.00),p:Ascomycota(0.41),c:Pezizomycetes(0.11),o:Pezizales(0.11),f:Tuberaceae(0.04),g:Tuber(0.02),s:Tuber_sp(0.02)	+	k:Fungi
m84045_240518_224402_s3/34542827/ccs;size=1	k:Fungi(1.00),p:Basidiomycota(0.54),c:Agaricomycetes(0.42),o:Agaricales(0.29),f:Entolomataceae(0.07),g:Entoloma(0.04),s:Entoloma_sp(0.02)	+	k:Fungi
m84045_240518_224402_s3/126553614/ccs;size=1	k:Fungi(1.00),p:Basidiomycota(0.42),c:Agaricomycetes(0.38),o:Agaricales(0.14),f:Psathyrellaceae(0.02),g:Candolleomyces(0.01),s:Candolleomyces_sp(0.01)	+	k:Fungi
m84045_240518_224402_s3/43125223/ccs;size=1	k:Fungi(1.00),p:Fungi_phy_Incertae_sedis(0.84),c:Fungi_cls_Incertae_sedis(0.84),o:Fungi_ord_Incertae_sedis(0.84),f:Fungi_fam_Incertae_sedis(0.84),g:Fungi_gen_Incertae_sedis(0.84),s:Fungi_sp(0.84)	+	k:Fungi,p:Fungi_phy_Incertae_sedis,c:Fungi_cls_Incertae_sedis,o:Fungi_ord_Incertae_sedis,f:Fungi_fam_Incertae_sedis,g:Fungi_gen_Incertae_sedis,s:Fungi_sp
m84045_240518_224402_s3/193008153/ccs;size=1	k:Fungi(1.00),p:Fungi_phy_Incertae_sedis(0.43),c:Fungi_cls_Incertae_sedis(0.43),o:Fungi_ord_Incertae_sedis(0.43),f:Fungi_fam_Incertae_sedis(0.43),g:Fungi_gen_Incertae_sedis(0.43),s:Fungi_sp(0.43)	+	k:Fungi
m84045_240518_224402_s3/187499356/ccs;size=4	k:Fungi(1.00),p:Basidiomycota(0.46),c:Agaricomycetes(0.36),o:Agaricales(0.18),f:Agaricaceae(0.04),g:Agaricus(0.02),s:Agaricus_sp(0.02)	+	k:Fungi
m84045_240518_224402_s3/187701024/ccs;size=1	k:Fungi(1.00),p:Basidiomycota(0.38),c:Agaricomycetes(0.23),o:Agaricales(0.12),f:Clavariaceae(0.04),g:Clavariaceae_gen_Incertae_sedis(0.03),s:Clavariaceae_sp(0.03)	+	k:Fungi
m84045_240518_224402_s3/194119051/ccs;size=3	k:Fungi(1.00),p:Fungi_phy_Incertae_sedis(0.79),c:Fungi_cls_Incertae_sedis(0.79),o:Fungi_ord_Incertae_sedis(0.79),f:Fungi_fam_Incertae_sedis(0.79),g:Fungi_gen_Incertae_sedis(0.79),s:Fungi_sp(0.79)	+	k:Fungi
m84045_240518_224402_s3/259392843/ccs;size=1	k:Fungi(1.00),p:Basidiomycota(0.34),c:Pucciniomycetes(0.19),o:Pucciniales(0.19),f:Pucciniaceae(0.16),g:Puccinia(0.15),s:Puccinia_recondita(0.08)	+	k:Fungi
