file,reads
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/N3E_L.hifi_reads.fastq.gz,21893
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/N3E_M1.hifi_reads.fastq.gz,20420
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/N3E_M2.hifi_reads.fastq.gz,35485
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/N3E_O.hifi_reads.fastq.gz,27511
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/N4C_2.hifi_reads.fastq.gz,15980
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/N4C_3.hifi_reads.fastq.gz,20726
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/N4C_4.hifi_reads.fastq.gz,29590
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/N4C_L.hifi_reads.fastq.gz,21308
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/N4C_M1.hifi_reads.fastq.gz,14279
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/N4C_M2.hifi_reads.fastq.gz,25423
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/N4C_O.hifi_reads.fastq.gz,22523
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/N4E_2.hifi_reads.fastq.gz,20718
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/N4E_3.hifi_reads.fastq.gz,12764
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/N4E_L.hifi_reads.fastq.gz,26094
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/N4E_M1.hifi_reads.fastq.gz,30153
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/N4E_O.hifi_reads.fastq.gz,23463
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/N5C_2.hifi_reads.fastq.gz,24849
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/N5C_3.hifi_reads.fastq.gz,10788
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/N5C_4.hifi_reads.fastq.gz,16132
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/N5C_L.hifi_reads.fastq.gz,23201
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/N5C_M1.hifi_reads.fastq.gz,19601
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/N5C_M2.hifi_reads.fastq.gz,29487
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/N5C_O.hifi_reads.fastq.gz,24133
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/N5E_2.hifi_reads.fastq.gz,10469
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/N5E_3.hifi_reads.fastq.gz,14970
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/N5E_4.hifi_reads.fastq.gz,10061
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/N5E_L.hifi_reads.fastq.gz,20043
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/N5E_M1.hifi_reads.fastq.gz,28581
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/N5E_M2.hifi_reads.fastq.gz,26199
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/N5E_O.hifi_reads.fastq.gz,25282
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S10L.hifi_reads.fastq.gz,39421
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S10M1.hifi_reads.fastq.gz,7166
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S10M2.hifi_reads.fastq.gz,21929
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S10_O.hifi_reads.fastq.gz,44754
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S11L.hifi_reads.fastq.gz,28433
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S11M1.hifi_reads.fastq.gz,15432
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S11M2.hifi_reads.fastq.gz,16774
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S11_O.hifi_reads.fastq.gz,13043
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S12L.hifi_reads.fastq.gz,17103
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S12M1.hifi_reads.fastq.gz,25813
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S12M2.hifi_reads.fastq.gz,17528
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S12_O.hifi_reads.fastq.gz,17525
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S13M1.hifi_reads.fastq.gz,8705
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S13M2.hifi_reads.fastq.gz,75
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S13O.hifi_reads.fastq.gz,11389
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S14L.hifi_reads.fastq.gz,8188
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S14M1.hifi_reads.fastq.gz,7668
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S14M2.hifi_reads.fastq.gz,15728
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S14_O.hifi_reads.fastq.gz,9296
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S15L.hifi_reads.fastq.gz,14218
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S15M1.hifi_reads.fastq.gz,40711
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S15_O.hifi_reads.fastq.gz,31593
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S16L.hifi_reads.fastq.gz,12031
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S16M1.hifi_reads.fastq.gz,9609
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S16M2.hifi_reads.fastq.gz,22806
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S16_O.hifi_reads.fastq.gz,13180
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S17L.hifi_reads.fastq.gz,20235
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S17M1.hifi_reads.fastq.gz,25904
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S17M2.hifi_reads.fastq.gz,11852
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S17_O.hifi_reads.fastq.gz,13757
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S18L.hifi_reads.fastq.gz,12675
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S18M1.hifi_reads.fastq.gz,20493
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S18M2.hifi_reads.fastq.gz,24538
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S18_O.hifi_reads.fastq.gz,8057
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S19M1.hifi_reads.fastq.gz,18571
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S19M2.hifi_reads.fastq.gz,15485
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S19O.hifi_reads.fastq.gz,11138
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S1L.hifi_reads.fastq.gz,20363
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S1M1.hifi_reads.fastq.gz,17794
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S1M2.hifi_reads.fastq.gz,14119
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S1_O.hifi_reads.fastq.gz,14431
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S20L.hifi_reads.fastq.gz,15286
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S20M1.hifi_reads.fastq.gz,9777
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S20M2.hifi_reads.fastq.gz,15516
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S20_O.hifi_reads.fastq.gz,6191
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S21L.hifi_reads.fastq.gz,10247
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S21M2.hifi_reads.fastq.gz,6892
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S21_O.hifi_reads.fastq.gz,9655
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S22L.hifi_reads.fastq.gz,10322
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S22M1.hifi_reads.fastq.gz,6671
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S22M2.hifi_reads.fastq.gz,12576
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S22_O.hifi_reads.fastq.gz,6947
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S23L.hifi_reads.fastq.gz,26242
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S23M1.hifi_reads.fastq.gz,33839
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S23M2.hifi_reads.fastq.gz,19023
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S23_O.hifi_reads.fastq.gz,22437
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S24L.hifi_reads.fastq.gz,22796
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S24M1.hifi_reads.fastq.gz,21525
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S24M2.hifi_reads.fastq.gz,18028
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S24_O.hifi_reads.fastq.gz,24950
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S2L.hifi_reads.fastq.gz,15128
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S2M1.hifi_reads.fastq.gz,14138
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S2M2.hifi_reads.fastq.gz,12845
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S2_O.hifi_reads.fastq.gz,15413
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S3L.hifi_reads.fastq.gz,16865
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S3M1.hifi_reads.fastq.gz,24137
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S3M2.hifi_reads.fastq.gz,14635
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S3_O.hifi_reads.fastq.gz,19000
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S4L.hifi_reads.fastq.gz,16379
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S4M1.hifi_reads.fastq.gz,19005
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S4M2.hifi_reads.fastq.gz,21991
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S4_O.hifi_reads.fastq.gz,18164
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S5L.hifi_reads.fastq.gz,20043
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S5M1.hifi_reads.fastq.gz,17504
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S5M2.hifi_reads.fastq.gz,40497
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S5_O.hifi_reads.fastq.gz,22586
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S6L.hifi_reads.fastq.gz,17798
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S6M1.hifi_reads.fastq.gz,12741
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S6M2.hifi_reads.fastq.gz,21126
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S6_O.hifi_reads.fastq.gz,22999
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S7L.hifi_reads.fastq.gz,25486
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S7M1.hifi_reads.fastq.gz,23643
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S7M2.hifi_reads.fastq.gz,38857
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S7_O.hifi_reads.fastq.gz,38308
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S8L.hifi_reads.fastq.gz,26209
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S8M1.hifi_reads.fastq.gz,20233
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S8M2.hifi_reads.fastq.gz,20604
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S8_O.hifi_reads.fastq.gz,25479
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S9L.hifi_reads.fastq.gz,16598
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S9M1.hifi_reads.fastq.gz,9942
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S9M2.hifi_reads.fastq.gz,15309
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/S9_O.hifi_reads.fastq.gz,7791
